fips_tract,tractid,p_white,p_black,p_hispanic,total_housing_units,occupied_housing_units,vacant_housing_units,p_occupied,p_vacant,p_owner_vacant,p_renter_vacant,median_grossrent_allhouses,median_grossrent_nobedrms,median_grossrent_onebedrms,median_grossrent_twobedrms,median_grossrent_threebedrms,median_grossrent_fourbedrms,median_grossrent_fivebedrms,average_grossrent_nobedrms,average_grossrent_onebedrms,average_grossrent_twobedrms,average_grossrent_threebedrms,median_grossrent,average_gross_rent,median_contract_rent,average_contract_rent,average_rooms,owner_average_rooms,renter_average_rooms,median_rooms,owner_median_rooms,renter_median_rooms,average_bedrms,owner_average_bedrms,renter_average_bedrms,median_yearbuilt,owner_median_yearbuilt,renter_median_yearbuilt,median_yearmovein,owner_median_yearmovein,renter_median_yearmovein,p_renter_higherthan_highschool,p_renter_higherthan_bachelor,p_higherthan_highschool,p_higherthan_college,owner_average_income,renter_average_income,median_hhinc,owner_median_hhinc,renter_median_hhinc,tract_assault_all,tract_arrest_all,tract_theft_all,presp_white,presp_black,presp_hispanic,tract_bathrooms,tract_sqft,tract_theft,tract_assault,tract_arrest,tract_elementary_school_score,tract_middle_school_score,tract_high_schol_score,tract_nightlife,tract_particulate_matter,tract_ozone,tract_nata_diesel_pm,tract_nata_airtoxics_cancerrisk,tract_nata_respiratory_hazard,tract_traffic_proximity_volume,tract_lead_paint_indicator,tract_superfund_proximity,tract_rmp_proximity,tract_hazardous_waste_proximity,tract_wastewater_discharge,tract_dist_tri,tract_pop_overage_64,tract_pop_underage_5,tract_poplessthan_highs,tract_linguistic_pop,tract_low_income_population,tract_minority_population,tract_toxic,statefp,countyfp,tractce,geoid,name,namelsad,mtfcc,funcstat,aland,awater,intptlat,intptlon,included,gisjoin,year.x,regiona.x,divisiona.x,state,statea,county.x,countya,cty_suba,placea,tracta,trbl_cta,blck_grpa,trbl_bga,c_citya,aianhha,res_onlya,trusta,trbl_suba,anrca,msa_cmsaa,pmsaa,necmaa,urb_areaa,cd106a,cd108a,cd109a,zip3a,zctaa,name.x,totalpop_2000,pop_white_only_2000,pop_black_only_2000,pop_hispanic_2000,pop_male_2000,median_age_2000,pop_less_18_2000,pop_over_65_2000,house_occupied_2000,house_vacant_2000,house_occ_owner_2000,house_occ_renter_2000,med_hh_inc_2000,pop_below_poverty_2000,pop_atabove_poverty_2000,med_rent_asked_2000,med_gross_rent_2000,med_value_owner_occ_2000,med_price_asked_2000,year.y,regiona.y,divisiona.y,county.y,cousuba,blkgrpa,concita,aitscea,cbsaa,csaa,metdiva,nectaa,cnectaa,nectadiva,uaa,cdcurra,sldua,sldla,zcta5a,submcda,sdelma,sdseca,sdunia,puma5a,name.y,median_age_2017,totalpop_2017,pop_white_only_2017,pop_black_only_2017,pop_hispanic_2017,pop_25over_2017,pop_25over_hs_2017,pop_25over_bach,med_hh_inc_2017,house_total_2017,house_occupied_2017,house_vacant_2017,house_occ_owner_2017,house_occ_renter_2017,med_gross_rent_2017,med_value_owner_occ_2017,pop_less_18_2017,pop_below_poverty_2017,pop_poverty_determined_2017,p_discrim,p_white_2017,p_white_2000,change_value,perc_change_value,change_inc,perc_change_inc,change_gross_rent,perc_change_gross_rent,perc_owner_2000,perc_owner_2017,change_perc_owner,med_medhhinc_2000,med_medhhinc_2017,rentburden_2000,rentburden_2017,change_rentburden,perc_change_rentburden,gentrify_composite,gentrify_housevalue,gentrify_rentburden,gentrify_income,wealth,newwealth
42017100102,1,0.69504952,0.031353135,0.069966994,1488,1322,166,88.8,11.2,0,1.9,1285,761.79199,1210,1369,1637.7765,0,0,1250,1204.501,1258.2294,1285.4546,1285,1297.413,1179,1202.4626,4.7004538,6.8233438,4.0308456,4.4,7,4,1.8940998,3.2271292,1.4736319,1969,1948,1971,2011,1990,2012,0.92338306,0.360199,0.90769905,0.33552057,75906.938,63124.379,52929,71625,52476,109.78494,36.4226,204.36174,0.45158461,0.4033125,0.45773622,1.25,985.75,166.33333,85.333336,46.333332,4.6444445,4.2800002,2.0666666,58.5,11.066667,44.700001,1.9483334,54.666668,2.7,1450,0.44833332,0.26350001,1.035,3.4866667,1166.6681,0.90460581,17,5,9.333333,5.5,29.333334,29,0.66666669,42,017,100102,42017100102,1001.02,Census Tract 1001.02,G5020,S,7695738,2422613,+40.0745577,-074.9405807,1,G4200170100102,2000,1,2,Pennsylvania,42,Bucks,017,NA,NA,100102,100102,NA,NA,NA,NA,NA,NA,NA,NA,6162,6160,9999,NA,NA,NA,NA,NA,NA,Census Tract 1001.02,2771,2453,96,54,1406,38.3,414,417,1345,46,378,967,47012,134,2626,792,830,139700,0,2013-2017,NA,NA,Bucks County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 1001.02, Bucks County, Pennsylvania",40.3,3030,2267,95,212,2286,851,391,52929,1488,1322,166,317,1005,1285,222500,469,284,3030,0.04827210999999998,0.7481848184818481,0.885239985564778,82800,0.5926986399427344,5917,0.1258614821747639,455,0.5481927710843374,0.2810408921933085,0.23978819969742815,-0.04125269249588037,46458,66563,0.21186080149749,0.2913336734115513,0.0794728719140613,0.3751183387975753,0,0,0,0,0,0
42017100103,2,0.85668409,0.037334405,0.055800885,1141,1107,34,97,3,0,0,899,713,836,1042,1611.3379,0,0,875,791.43457,1090,1250,899,897.84644,814,786.79773,5.4010839,6.9237919,3.9613357,5.5,6.9,3.7,2.3595302,3.2490706,1.5184535,1959,1954,1967,2007,1999,2011,0.89103693,0.18453427,0.92076504,0.20710382,74693.305,42319.859,47068,68077,37031,47.331665,17.036306,87.967812,0.16344427,0.14769702,0.22236454,1,1323.5555,78.099998,45.200001,19.799999,5.1166668,4.52,3.25,45.099998,11.099999,44.75,2.0669999,54.599998,2.73,1117,0.479,0.26069999,1.219,4.1549997,274.01251,1.6205268,15.3,6,11.6,3.0999999,30.9,33.400002,0,42,017,100103,42017100103,1001.03,Census Tract 1001.03,G5020,S,1570792,10506,+40.0682737,-074.9721495,1,G4200170100103,2000,1,2,Pennsylvania,42,Bucks,017,NA,NA,100103,100103,NA,NA,NA,NA,NA,NA,NA,NA,6162,6160,9999,NA,NA,NA,NA,NA,NA,Census Tract 1001.03,2420,2119,203,96,1228,37,566,338,1035,50,538,497,40000,200,2327,375,538,128900,85000,2013-2017,NA,NA,Bucks County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 1001.03, Bucks County, Pennsylvania",40.6,2491,2210,93,139,1830,837,177,47068,1141,1107,34,538,569,899,223300,441,227,2491,0.01574724999999999,0.8871938980329185,0.8756198347107438,94400,0.7323506594259116,7068,0.1767,361,0.671003717472119,0.5198067632850242,0.4859981933152665,-0.033808569969757674,46458,66563,0.1614,0.22920030594034163,0.06780030594034164,0.4200762449835294,0,0,0,0,0,0
42017100104,3,0.47667438,0.15011548,0.16235566,1903,1771,132,93.1,6.9,0,6,952,804,914,999,1688.4374,0,0,661.11108,799.74426,975.81604,400,952,872.85016,875,773.35992,4.9536986,7.2218652,3.7258487,4.3,7.4,3.8,2.2055335,3.4067523,1.5552654,1976,1983,1974,2007,1998,2010,0.84421235,0.18015666,0.85451561,0.35041052,92813.508,36068.32,40473,89643,26690,71.330177,25.221951,132.55931,0.64299428,0.61150688,0.29711428,1,78207,111.14286,73,8.2857141,5.0476189,4.6190476,3.6666667,17,10.928572,45.185715,1.4671428,51.42857,2.3571427,891.42859,0.39142859,0.24571429,0.58142853,3.8142858,0.001121429,1.2433388,15.428572,6.4285712,11,6.4285712,27.857143,22.857143,0,42,017,100104,42017100104,1001.04,Census Tract 1001.04,G5020,S,1955710,12199,+40.0917155,-074.9501748,1,G4200170100104,2000,1,2,Pennsylvania,42,Bucks,017,NA,NA,100104,100104,NA,NA,NA,NA,NA,NA,NA,NA,6162,6160,9999,NA,NA,NA,NA,NA,NA,Census Tract 1001.04,4475,2928,412,213,2131,37.7,1107,509,1785,25,543,1242,34275,697,3729,638,527,175100,0,2013-2017,NA,NA,Bucks County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 1001.04, Bucks County, Pennsylvania",38.6,4330,2332,677,703,3045,856,494,40473,1903,1771,132,622,1149,952,312300,860,830,4325,0.031487400000000054,0.538568129330254,0.6543016759776537,137200,0.7835522558537978,6198,0.18083150984682714,425,0.8064516129032258,0.3042016806722689,0.3512140033879164,0.047012322715647537,46458,66563,0.18450765864332605,0.2822622489066785,0.09775459026335245,0.5298131848950672,0,0,0,0,0,0
42017100206,4,0.65789473,0.061529722,0.078568727,2006,1904,102,94.9,5.1,0,7.2,1414,1015.2034,1301,1465,1454,0,0,1015.0054,1299.1353,1308.353,1371.5597,1414,1437.5736,1181,1197.4971,5.9847689,7.1948175,4.5220418,5.7,7.5,4.5,2.6102941,3.2715931,1.8109049,1978,1979,1977,2007,2000,2013,0.88979119,0.33178654,0.93987173,0.43666488,105952.49,63396.172,81188,113571,53977,6.075171,6.5202861,12.33159,0.027132386,0.022911584,0.025242247,1.5,24552.334,260.77777,111.4,51.900002,3.7882576,3.8116667,2.5833333,59.200001,11.045455,44.481819,1.8972727,52.909092,2.6090908,824.72729,0.53799999,0.18045455,1.0609092,3.4127274,323.6579,2.6393502,13.181818,6.5454545,14.545455,7.090909,37,56.454544,0,42,017,100206,42017100206,1002.06,Census Tract 1002.06,G5020,S,4735309,0,+40.1347795,-074.9441709,1,G4200170100206,2000,1,2,Pennsylvania,42,Bucks,017,NA,NA,100206,100206,NA,NA,NA,NA,NA,NA,NA,NA,6162,6160,9999,NA,NA,NA,NA,NA,NA,Census Tract 1002.06,4447,3844,202,114,2157,35.3,976,345,1780,38,915,865,58125,220,4227,833,966,156900,202800,2013-2017,NA,NA,Bucks County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 1002.06, Bucks County, Pennsylvania",38.7,5282,3781,325,415,3742,1214,824,81188,2006,1904,102,1042,862,1414,292600,1067,248,5277,0.004220802000000003,0.7158273381294964,0.8644029682932314,135700,0.8648820905035054,23063,0.3967827956989247,448,0.463768115942029,0.5140449438202247,0.5472689075630253,0.033223963742800566,46458,66563,0.19943225806451612,0.20899640340937084,0.009564145344854724,0.04795686233347834,0,0,0,0,0,0
42017100207,5,0.72906166,0.08711303,0.067194626,1821,1718,103,94.3,5.7,2.9,5.6,863,910.70874,883,785,910,0,0,875,789.133,809.6059,897.07208,863,785.74426,803,683.77881,5.3096623,6.9189906,4.0538859,5.1,6.8,4.1,2.2211874,2.9508631,1.6518135,1976,1981,1974,2004,2003,2005,0.7626943,0.17927462,0.84784722,0.33570734,90876.492,31733.16,41897,80433,23560,61.72802,23.082384,114.89742,0.40396678,0.36340365,0.27960476,1.3333334,25619.5,149.625,76,24.375,4.1500001,4.7083335,3.4285715,58.375,10.8375,45.375,1.63,52.125,2.4624999,805,0.33125001,0.22,0.86500001,2.5250001,275.00748,2.4547765,17.375,5.875,13.375,11.375,40.625,31,0,42,017,100207,42017100207,1002.07,Census Tract 1002.07,G5020,S,5154556,4649,+40.1214645,-074.9481388,1,G4200170100207,2000,1,2,Pennsylvania,42,Bucks,017,NA,NA,100207,100207,NA,NA,NA,NA,NA,NA,NA,NA,6162,6160,9999,NA,NA,NA,NA,NA,NA,Census Tract 1002.07,3842,3166,298,136,1862,38.3,940,442,1468,39,611,857,37417,706,3136,629,430,136300,0,2013-2017,NA,NA,Bucks County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 1002.07, Bucks County, Pennsylvania",50,4167,3155,446,280,3089,998,583,41897,1821,1718,103,753,965,863,267300,841,889,4159,0.04056313,0.7571394288456923,0.8240499739718896,131000,0.9611151870873074,4480,0.11973167276906219,433,1.0069767441860464,0.4162125340599455,0.4383003492433062,0.02208781518336067,46458,66563,0.13790523024293772,0.24717760221495572,0.109272371972018,0.792372934511046,0,0,0,0,0,0
42017100208,6,0.5180195,0.11899351,0.23847403,2805,2624,181,93.5,6.5,2.2,5.1,994,822,969,1225,1406.8595,1821,0,817.59259,996.22339,1182.4905,1000,994,1042.6892,874,906.97498,4.7785821,6.7401247,3.6432009,4.7,6.5,3.7,1.9836128,3.1590436,1.3032491,1969,1958,1973,2010,2001,2012,0.83212996,0.19975932,0.89044183,0.23782687,73973.492,38652.227,37356,70446,35294,45.591896,18.109135,85.224533,0.74564308,0.72217989,0.19458731,1.3125,16972.551,117.3,65.550003,29.35,4.2309523,4.6482654,3.2809525,40.578949,10.98,45.099998,1.638,53.099998,2.4449999,491.5,0.30399999,0.21699999,0.63300002,3.5049999,523.45172,1.7266223,14.85,7,12.55,10.85,37.75,47.049999,0,42,017,100208,42017100208,1002.08,Census Tract 1002.08,G5020,S,4205883,0,+40.1108566,-074.9561937,1,G4200170100208,2000,1,2,Pennsylvania,42,Bucks,017,NA,NA,100208,100208,NA,NA,NA,NA,NA,NA,NA,NA,6162,6160,9999,NA,NA,NA,NA,NA,NA,Census Tract 1002.08,6441,4573,648,1159,3485,33.3,1402,675,2528,120,1009,1519,38091,639,5793,676,653,116300,85000,2013-2017,NA,NA,Bucks County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 1002.08, Bucks County, Pennsylvania",38.1,6160,4049,766,1469,4436,1892,626,37356,2805,2624,181,962,1662,994,232400,1380,1249,6128,0.023463189999999967,0.6573051948051948,0.7099829219065362,116100,0.998280309544282,-735,-0.01929589666850437,341,0.5222052067381318,0.39912974683544306,0.3666158536585366,-0.03251389317690645,46458,66563,0.20571788611483027,0.31930613556055254,0.11358824944572227,0.5521554376770045,0,0,0,0,0,0
42017100209,7,0.59594655,0.046248384,0.074277706,3955,3636,319,91.9,8.1,2.6,2,1182,848.64288,1101,1242,2116,0,0,1250,1139.308,1253.2894,1434.1085,1182,1248.7625,1073,1091.6125,5.4337182,7.0104809,4.1638532,5.1,7,4.2,2.3688118,3.3156598,1.6062562,1974,1973,1975,2008,2000,2012,0.95630586,0.3202582,0.93087351,0.39397591,95826.141,58335.402,68611,103191,51346,91.086632,31.848886,169.81929,0.53548169,0.48344192,0.38958561,1.25,54594.668,158.36363,88.555557,20.666666,4.5749998,4.4791665,2.5999999,42.090908,10.945455,45.018181,1.6918182,52,2.4818182,704.54547,0.36272725,0.32363635,1.3518182,3.5,672.73755,1.0551603,14.272727,5.2727275,10.454545,7.6363635,30.363636,46.81818,0.63636363,42,017,100209,42017100209,1002.09,Census Tract 1002.09,G5020,S,4738634,76889,+40.0956045,-074.9284256,1,G4200170100209,2000,1,2,Pennsylvania,42,Bucks,017,NA,NA,100209,100209,NA,NA,NA,NA,NA,NA,NA,NA,6162,6160,9999,NA,NA,NA,NA,NA,NA,Census Tract 1002.09,7958,6205,706,261,3966,32.8,1788,639,3255,208,1373,1882,53555,378,7572,685,797,148800,0,2013-2017,NA,NA,Bucks County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 1002.09, Bucks County, Pennsylvania",38.5,9276,5865,433,689,6640,2004,1388,68611,3955,3636,319,1622,2014,1182,287700,1680,570,9236,0.052039769999999985,0.6322768434670116,0.7797185222417693,138900,0.9334677419354839,15056,0.28113154700774906,385,0.48306148055207027,0.4218125960061444,0.4460946094609461,0.024282013454801687,46458,66563,0.17858276538138362,0.20673069915902698,0.028147933777643352,0.15761842257023104,0,0,0,0,0,0
42017100304,8,0.65675145,0.22387476,0.084540114,1144,1064,80,93,7,0,0,928,1046.4268,804,1084,1438,0,0,875,798.92969,1127.8502,1250,928,960.45776,867,864.29578,4.8665414,6.2452831,4.2788205,4.6,6.1,4.2,2.0817668,2.9842768,1.6970509,1966,1953,1969,2009,1994,2011,0.88873994,0.056300268,0.84464175,0.18579581,71831.758,41186.328,38953,70982,34338,87.627724,30.573683,156.85092,0.40658107,0.3075659,0.41706347,1.3324599,1011.5,356.60001,132.25,50.400002,4.5250001,4.5476189,3.5,98,11.16,44.540001,2.3180001,57.200001,3,1182,0.56800002,0.21799999,1.122,4.9000001,848.00787,0.27975231,12.8,6,11.2,4.1999998,35.599998,49.400002,1,42,017,100304,42017100304,1003.04,Census Tract 1003.04,G5020,S,4018834,99694,+40.1122065,-074.8959059,1,G4200170100304,2000,1,2,Pennsylvania,42,Bucks,017,NA,NA,100304,100304,NA,NA,NA,NA,NA,NA,NA,NA,6162,6160,9999,NA,NA,NA,NA,NA,NA,Census Tract 1003.04,2431,1822,422,168,1317,32.9,582,218,1059,35,415,644,31250,439,2000,525,547,114000,112500,2013-2017,NA,NA,Bucks County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 1003.04, Bucks County, Pennsylvania",32,2555,1817,572,216,1577,636,125,38953,1144,1064,80,318,746,928,187100,583,854,2555,0.09901516999999999,0.7111545988258317,0.7494858083093378,73100,0.6412280701754386,7703,0.246496,381,0.696526508226691,0.3918791312559018,0.29887218045112784,-0.09300695080477395,46458,66563,0.210048,0.28588298718969013,0.07583498718969012,0.3610364639972297,0,0,0,0,0,0
42017100307,9,0.72161895,0.092596248,0.10997038,2096,1942,154,92.7,7.3,1.3,3.9,965,923,909,1114,958,1223,0,845,913.75543,1141.6666,1040.4371,965,1024.9625,838,880.84711,5.6060762,6.4027667,4.2328191,5.9,6.4,4,2.7476828,3.2921073,1.8092567,1959,1957,1970,2005,2001,2010,0.90462834,0.10238429,0.87959558,0.20220588,68726.609,41363.957,46250,60609,33306,103.75693,36.197235,193.38731,0.46576113,0.39324054,0.45774767,1.5,8274,100,100,100,3,2,3.25,3.6666667,10.700001,45.474998,1.35,47.25,2.2249999,845,0.48250002,0.67500001,3.2750001,5.5250001,0.039074998,0.61773211,11.5,6.5,13.25,3.75,31.25,32,1,42,017,100307,42017100307,1003.07,Census Tract 1003.07,G5020,S,2314482,71823,+40.0984599,-074.8984784,1,G4200170100307,2000,1,2,Pennsylvania,42,Bucks,017,NA,NA,100307,100307,NA,NA,NA,NA,NA,NA,NA,NA,6162,6160,9999,NA,NA,NA,NA,NA,NA,Census Tract 1003.07,5025,4513,253,261,2519,34.6,1222,532,1981,51,1201,780,47986,198,4795,725,590,108700,85000,2013-2017,NA,NA,Bucks County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 1003.07, Bucks County, Pennsylvania",38.8,5065,3972,479,557,3264,1525,298,46250,2096,1942,154,1229,713,965,196100,1098,722,5044,0.07252059,0.7842053307008885,0.8981094527363184,87400,0.8040478380864765,-1736,-0.036177218355353646,375,0.635593220338983,0.6062594649167087,0.6328527291452111,0.02659326422850239,46458,66563,0.1475430333847372,0.2503783783783784,0.10283534499364119,0.6969854328905178,0,0,0,0,0,0
42017100401,10,0.80345857,0.045892917,0.12986365,2569,2385,184,92.8,7.2,2.8,5.8,990,1136,950,1162,1483.302,1196,0,875,891.83167,1262.2549,1314.6067,990,1116.7411,950,1006.2054,6.151782,6.7408218,4.2321429,6.2,6.7,3.8,3.0197065,3.4230137,1.7053572,1957,1960.0734,1966,2001,1995,2012,0.97678572,0.23571429,0.89302999,0.28073573,83782.195,41633.93,60784,84279,36333,70.671379,23.771883,110.2506,0.27427587,0.16233076,0.30426732,1,800,52,100,51.5,2.1818182,1.5,2.8333333,6.5,10.95,45.150002,1.52,46.5,2.25,245,0.66499996,0.19499999,1.7,2.9499998,500.013,0.7307775,10.5,7,15.5,4.5,43,60.5,1,42,017,100401,42017100401,1004.01,Census Tract 1004.01,G5020,S,3245952,6352,+40.1348354,-074.8731389,1,G4200170100401,2000,1,2,Pennsylvania,42,Bucks,017,NA,NA,100401,100401,NA,NA,NA,NA,NA,NA,NA,NA,6162,6160,9999,NA,NA,NA,NA,NA,NA,Census Tract 1004.01,6599,5861,371,253,3205,34.9,1769,789,2305,106,1871,434,48551,486,6062,0,664,107800,105400,2013-2017,NA,NA,Bucks County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 1004.01, Bucks County, Pennsylvania",40,6014,5300,304,781,4132,1447,520,60784,2569,2385,184,1825,560,990,202400,1223,203,6014,0.11194510999999999,0.8812770202859993,0.8881648734656766,94600,0.8775510204081632,12233,0.25196185454470554,326,0.49096385542168675,0.8117136659436008,0.7651991614255765,-0.0465145045180243,46458,66563,0.16411608411773188,0.19544617004474862,0.03133008592701675,0.19090198316297566,0,0,0,0,0,0
