fips_tract,tractid,p_white,p_black,p_hispanic,total_housing_units,occupied_housing_units,vacant_housing_units,p_occupied,p_vacant,p_owner_vacant,p_renter_vacant,median_grossrent_allhouses,median_grossrent_nobedrms,median_grossrent_onebedrms,median_grossrent_twobedrms,median_grossrent_threebedrms,median_grossrent_fourbedrms,median_grossrent_fivebedrms,average_grossrent_nobedrms,average_grossrent_onebedrms,average_grossrent_twobedrms,average_grossrent_threebedrms,median_grossrent,average_gross_rent,median_contract_rent,average_contract_rent,average_rooms,owner_average_rooms,renter_average_rooms,median_rooms,owner_median_rooms,renter_median_rooms,average_bedrms,owner_average_bedrms,renter_average_bedrms,median_yearbuilt,owner_median_yearbuilt,renter_median_yearbuilt,median_yearmovein,owner_median_yearmovein,renter_median_yearmovein,p_renter_higherthan_highschool,p_renter_higherthan_bachelor,p_higherthan_highschool,p_higherthan_college,owner_average_income,renter_average_income,median_hhinc,owner_median_hhinc,renter_median_hhinc,tract_assault_all,tract_arrest_all,tract_theft_all,presp_white,presp_black,presp_hispanic,tract_bathrooms,tract_sqft,tract_theft,tract_assault,tract_arrest,tract_elementary_school_score,tract_middle_school_score,tract_high_schol_score,tract_nightlife,tract_particulate_matter,tract_ozone,tract_nata_diesel_pm,tract_nata_airtoxics_cancerrisk,tract_nata_respiratory_hazard,tract_traffic_proximity_volume,tract_lead_paint_indicator,tract_superfund_proximity,tract_rmp_proximity,tract_hazardous_waste_proximity,tract_wastewater_discharge,tract_dist_tri,tract_pop_overage_64,tract_pop_underage_5,tract_poplessthan_highs,tract_linguistic_pop,tract_low_income_population,tract_minority_population,tract_toxic,statefp,countyfp,tractce,geoid,name,namelsad,mtfcc,funcstat,aland,awater,intptlat,intptlon,included,gisjoin,year.x,regiona.x,divisiona.x,state,statea,county.x,countya,cty_suba,placea,tracta,trbl_cta,blck_grpa,trbl_bga,c_citya,aianhha,res_onlya,trusta,trbl_suba,anrca,msa_cmsaa,pmsaa,necmaa,urb_areaa,cd106a,cd108a,cd109a,zip3a,zctaa,name.x,totalpop_2000,pop_white_only_2000,pop_black_only_2000,pop_hispanic_2000,pop_male_2000,median_age_2000,pop_less_18_2000,pop_over_65_2000,house_occupied_2000,house_vacant_2000,house_occ_owner_2000,house_occ_renter_2000,med_hh_inc_2000,pop_below_poverty_2000,pop_atabove_poverty_2000,med_rent_asked_2000,med_gross_rent_2000,med_value_owner_occ_2000,med_price_asked_2000,year.y,regiona.y,divisiona.y,county.y,cousuba,blkgrpa,concita,aitscea,cbsaa,csaa,metdiva,nectaa,cnectaa,nectadiva,uaa,cdcurra,sldua,sldla,zcta5a,submcda,sdelma,sdseca,sdunia,puma5a,name.y,median_age_2017,totalpop_2017,pop_white_only_2017,pop_black_only_2017,pop_hispanic_2017,pop_25over_2017,pop_25over_hs_2017,pop_25over_bach,med_hh_inc_2017,house_total_2017,house_occupied_2017,house_vacant_2017,house_occ_owner_2017,house_occ_renter_2017,med_gross_rent_2017,med_value_owner_occ_2017,pop_less_18_2017,pop_below_poverty_2017,pop_poverty_determined_2017,p_discrim,p_white_2000,p_white_2017,change_value,perc_change_value,change_inc,perc_change_inc,change_gross_rent,perc_change_gross_rent,perc_owner_2000,perc_owner_2017,change_perc_owner,med_medhhinc_2000,med_medhhinc_2017,rentburden_2000,rentburden_2017,change_rentburden,perc_change_rentburden,gentrify_composite,gentrify_housevalue,gentrify_rentburden,gentrify_income,wealth,newwealth
42101000100,131,0.6637786,0.13237064,0.063778579,2678,2367,311,88.4,11.6,0,4.6,1724,1325,1666,2205,1931,2705,464,1271.5828,1407.6959,1482.1428,1500,1724,1763.8755,1558,1625,3.2315166,3.9789622,2.9093108,3,3.5,2.8,1.4626108,1.9789622,1.2400242,1939,1971,1939,2011.2915,2011,2013,1,0.88754535,0.97904444,0.83654654,114540.67,88762.094,109738,142689,95125,116.93842,43.970654,301.3851,0.68918574,0.6145339,0.68891013,6.9273505,5080.5645,278.16345,113.07211,55.66346,5.4625931,5.430819,2.673352,173.26442,11.383732,43.903351,3.5955408,70.425835,4.0645933,2101.4832,0.5879904,0.38903826,1.4840192,7.8935885,707.6012,0.26688936,12.119617,4.5263157,8.3062201,4.4976077,30.535885,39.755981,1,42,101,000100,42101000100,1,Census Tract 1,G5020,S,704917,0,+39.9523827,-075.1466629,1,G4201010000100,2000,1,2,Pennsylvania,42,Philadelphia,101,NA,NA,000100,000100,NA,NA,NA,NA,NA,NA,NA,NA,6162,6160,9999,NA,NA,NA,NA,NA,NA,Census Tract 1,2650,2128,338,92,1494,33.1,69,159,1748,152,400,1348,48886,223,2186,1033,959,121000,0,2013-2017,NA,NA,Philadelphia County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 1, Philadelphia County, Pennsylvania",30.9,4155,2990,550,265,3579,220,1692,109738,2678,2367,311,713,1654,1724,397100,228,292,4155,0.07465184000000002,0.8030188679245283,0.7196149217809867,276100,2.2818181818181817,60852,1.2447735548009655,765,0.7977059436913452,0.2288329519450801,0.30122517955217576,0.07239222760709565,29839,40813,0.23540481937569038,0.1885217518088538,-0.04688306756683658,-0.19915933620719264,1,0,0,0,1,0
42101000200,132,0.24077526,0.052925829,0.043980617,1128,1010,118,89.5,10.5,17.5,4.8,1122,1102.3973,1219,1213,743,672,464,1123.3334,1066.7411,1083.5555,928.39288,1122,1171.8413,1051,1043.2589,3.6881187,4.1480446,3.4355829,3.3,3.4,3.3,1.8188119,2.0363128,1.6993865,1975,1976,1974,2011,2010,2012,0.85736197,0.49386504,0.73676395,0.44285008,79378.492,34942.484,30746,79300,16964,111.98156,34.939472,261.63025,0.59384638,0.41047275,0.35451525,1.35,15378.75,210.21053,108.92105,72.631577,4.5087714,4.2312078,2.9911747,123.07895,11.37,43.915001,3.57075,74.75,4.0599999,1742.5,0.57574999,0.28397501000000003,1.191,7.5634999,1480.0035,0.29262868,13.6,4.2750001,7.9499998,3.8,32.474998,41.075001,1,42,101,000200,42101000200,2,Census Tract 2,G5020,S,382481,0,+39.9553999,-075.1569774,1,G4201010000200,2000,1,2,Pennsylvania,42,Philadelphia,101,NA,NA,000200,000200,NA,NA,NA,NA,NA,NA,NA,NA,6162,6160,9999,NA,NA,NA,NA,NA,NA,Census Tract 2,1362,162,74,23,683,34.9,211,215,459,50,85,374,8349,690,533,399,421,112500,0,2013-2017,NA,NA,Philadelphia County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2, Philadelphia County, Pennsylvania",33.3,2683,698,142,118,2021,419,525,30746,1128,1010,118,358,652,1122,225800,328,962,2558,0.18337363,0.11894273127753303,0.2601565411852404,113300,1.007111111111111,22397,2.6825967181698407,701,1.665083135391924,0.18518518518518517,0.35445544554455444,0.16927026035936926,29839,40813,0.60510240747394894,0.4379106225200026,-0.16719178495394632,-0.2763032883175966,1,0,0,0,0,0
42101000300,133,0.6567629,0.04810413,0.084040746,1957,1805,152,92.2,7.8,0,6.8,1904,988,1758,2655,3500,0,0,980.63831,1292.0326,1404.5454,1440.4762,1904,1850.8099,1731,1710.4032,3.7130194,6.5096154,2.8754499,3.2,6.4,2.8,1.5772853,2.7932692,1.2131029,1943,1983,1939,2012,2004,2013,0.94672424,0.77393806,0.96138436,0.80364299,109501.2,81456.086,84135,145714,74716,170.97794,77.13147,456.43225,0.69632101,0.64938498,0.56197894,1.5583832,5597.5029,460.375,198.39911,123.53571,5.4537945,5.4871993,3.4572945,203.13274,11.449339,43.9674,3.4632204,73.634361,3.8982379,1672.0309,0.60162997,0.20207049,0.93431717,7.2222028,3039.595,0.97444147,13.387665,4.4581499000000004,6.986784,3.6255507,31.480177,38.955948,0.57268721,42,101,000300,42101000300,3,Census Tract 3,G5020,S,546269,22680,+39.9568348,-075.1713009,1,G4201010000300,2000,1,2,Pennsylvania,42,Philadelphia,101,NA,NA,000300,000300,NA,NA,NA,NA,NA,NA,NA,NA,6162,6160,9999,NA,NA,NA,NA,NA,NA,Census Tract 3,2570,1886,379,98,1223,36.4,174,385,1239,153,378,861,40625,236,1705,1125,688,194400,0,2013-2017,NA,NA,Philadelphia County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 3, Philadelphia County, Pennsylvania",32.6,3534,2603,170,297,2745,213,1024,84135,1957,1805,152,416,1389,1904,591200,281,280,3315,0.04693603000000002,0.733852140077821,0.7365591397849462,396800,2.0411522633744856,43510,1.0710153846153847,1216,1.7674418604651163,0.3050847457627119,0.23047091412742382,-0.07461383163528806,29839,40813,0.2032246153846154,0.2715635585665894,0.06833894318197403,0.3362729610910483,0,0,0,0,1,0
42101000401,134,0.5642097,0.11778115,0.052051671,1986,1690,296,85.1,14.9,1.6,14.3,1435,1140.334,1535,2373,2750.5403,0,0,710.63049,1168.5688,1441.9832,1112.5,1435,1395.8616,1363,1332.3429,2.7928994,3.8594704,2.3561301,2.5,3.7,2.2,1.2408284,1.7800407,1.0200167,1967,1985,1965,2012,2009,2012,0.86989158,0.72560465,0.88953251,0.77368641,98553.969,63015.012,59221,104125,51658,163.49203,67.556961,533.52911,0.74788857,0.62720805,0.54612178,13.474138,9131.8701,718.25726,205.19324,97.213593,5.2554002,5.3176608,2.5737019,202.35577,11.437143,43.992382,3.3911762,72.461906,3.7861903,1491.6666,0.61252379,0.21038571,1.0665238,7.1436667,2928.7979,1.129232,13.133333,4.5,6.5190477,3.8666666,30.200001,38.461906,0,42,101,000401,42101000401,4.01,Census Tract 4.01,G5020,S,216838,15884,+39.9541871,-075.1758082,1,G4201010000401,NA,NA,NA,Pennsylvania,42,NA,101,NA,NA,000401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-2017,NA,NA,Philadelphia County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 4.01, Philadelphia County, Pennsylvania",33.9,2632,1575,310,137,2417,157,872,59221,1986,1690,296,491,1199,1435,595800,68,486,2632,0.12068051999999996,NA,0.598404255319149,NA,NA,NA,NA,NA,NA,NA,0.29053254437869824,NA,29839,40813,NA,0.2907752317590044,NA,NA,0,0,0,0,1,0
42101000402,135,0.84207338,0.058502577,0.008790542,3023,2483,540,82.1,17.9,5.9,15,1751,1426,1843,2262,2898.7683,0,464,1224.4152,1406.5964,1296.627,1370.6897,1751,1888.5659,1728,1823.6157,3.5134916,3.9437375,2.8646464,3.4,3.8,2.8,1.3930728000000001,1.5324849,1.1828283,1966,1965,1972,2011,2007,2013,1,0.85454547,0.98261142,0.73221624,75624.578,80242.422,72866,70625,76800,174.56848,74.498024,537.23468,0.78015947,0.71456772,0.69960809,1.494382,8068.292,453.83899,186.88136,121.05085,5.3490829,5.3815022,2.4449096,226.04237,11.455833,43.953335,3.55775,74.741669,3.9391668,1569.6666,0.61400002,0.22200833,1.0301666,7.5379167,2629.165,0.86160994,13.275,4.5166669,7.6416669,3.75,32.558334,40.841667,0.95833331,42,101,000402,42101000402,4.02,Census Tract 4.02,G5020,S,303680,0,+39.9532973,-075.1686952,1,G4201010000402,NA,NA,NA,Pennsylvania,42,NA,101,NA,NA,000402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-2017,NA,NA,Philadelphia County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 4.02, Philadelphia County, Pennsylvania",52.4,3299,2807,193,29,3163,331,1027,72866,3023,2483,540,1493,990,1751,303400,60,141,3299,0.06559174999999995,NA,0.8508638981509549,NA,NA,NA,NA,NA,NA,NA,0.6012887635924286,NA,29839,40813,NA,0.2883649438695688,NA,NA,0,0,0,0,1,0
42101000500,136,0.35003978,0.3325378,0.12410501,997,933,64,93.6,6.4,0,2.5,1497,882,1634,2000,1707.9625,0,464,821.90723,1369.375,1435.6013,1044.4445,1497,1395.791,1363,1320.3955,2.4951768,3.7619047,2.4354658,2.2,3.5,2.1,1.0439442,2,0.99887764,1939,1939,1939,2011.8174,2010,2013,0.95173961,0.72053874,0.82041407,0.43765047,118392.86,54175.086,42135,146848.3281,40677,110.50394,39.957367,326.12259,0.5474838,0.43366653,0.43398392,1.1693548,12312.306,530.44519,183.04794,73.88356,5.4888077,5.5589271,2.1084516,239.46576,11.429252,43.902721,3.4875715,73.163269,3.9251699,1542.9524,0.60469389,0.29161224,1.3133334,7.4874148,1760.2737,0.57808149,13.040816,4.7006803,8.727891,4.0476189,33.469387,41.775509,1,42,101,000500,42101000500,5,Census Tract 5,G5020,S,428780,0,+39.9519534,-075.1581776,1,G4201010000500,2000,1,2,Pennsylvania,42,Philadelphia,101,NA,NA,000500,000500,NA,NA,NA,NA,NA,NA,NA,NA,6162,6160,9999,NA,NA,NA,NA,NA,NA,Census Tract 5,1126,623,320,58,681,21.7,43,34,280,93,6,274,9620,332,190,542,507,225000,0,2013-2017,NA,NA,Philadelphia County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 5, Philadelphia County, Pennsylvania",31.5,2514,1096,877,312,2077,229,366,42135,997,933,64,42,891,1497,394400,35,536,1539,0.11381726999999997,0.5532859680284192,0.43595863166268894,169400,0.7528888888888889,32515,3.37993762993763,990,1.952662721893491,0.02142857142857143,0.04501607717041801,0.02358750574184658,29839,40813,0.6324324324324324,0.4263438946244215,-0.2060885378080109,-0.3258664914058292,1,1,0,1,0,0
42101000600,137,0.71333885,0.071251035,0.10936206,805,674,131,83.7,16.3,11.6,11,1749,1738,1708,2323,1879.8468,0,464,1448.1132,1426.9093,1461.5385,1211.5385,1749,1823.0525,1679,1753.6963,2.6706231,2.6842105,2.6698112,2.3,2.7,2.3,1.0964391,1.5789474,1.06761,1939,1939,1939,2013,2015,2012.5204,1,0.87421381,0.98385358,0.81270182,138815.8,79599.055,77500,250000,72841,145.08392,55.976929,483.04108,0.72172683,0.600685,0.63396025,1.5662394,8605.6338,616.51367,200.91257,83.349724,5.7217007,5.8271265,2.5248973,255.36414,11.40914,43.918278,3.6367204,74.876343,4.0204301,1575.2688,0.61205375,0.33610752,1.5224731,7.9322042,1564.0753,0.57764256,12.688172,4.5053763,7.9301076,3.8494623,31.112904,39.155914,1,42,101,000600,42101000600,6,Census Tract 6,G5020,S,172652,0,+39.9493845,-075.1583355,1,G4201010000600,2000,1,2,Pennsylvania,42,Philadelphia,101,NA,NA,000600,000600,NA,NA,NA,NA,NA,NA,NA,NA,6162,6160,9999,NA,NA,NA,NA,NA,NA,Census Tract 6,1315,915,209,45,873,28.9,27,58,521,103,9,512,41563,176,610,675,977,225000,0,2013-2017,NA,NA,Philadelphia County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 6, Philadelphia County, Pennsylvania",30.7,1207,971,86,132,929,40,213,77500,805,674,131,38,636,1749,734400,96,142,1024,0.12104183000000002,0.6958174904942965,0.8044739022369511,509400,2.264,35937,0.8646392223852946,772,0.7901740020470829,0.01727447216890595,0.05637982195845697,0.03910534978955102,29839,40813,0.2820778095902606,0.2708129032258065,-0.011264906364454097,-0.03993545745699468,1,0,0,0,1,0
42101000700,138,0.56302524,0.15618661,0.084902927,2826,2429,397,86,14,5.3,4.6,1709,1072,1729,2003,3125,0,0,1092.3441,1386.8783,1345.0183,1202.551,1709,1673.6783,1650,1623.0315,3.1605599,4.1821194,2.8224657,3,3.8,2.7,1.3314121,1.6572847,1.2235616,1945,1948,1944,2013,2011,2014,0.98246574,0.84547943,0.97797358,0.85462552,89561.258,63342.465,51830,100469,50057,163.25194,57.503532,673.68951,0.71653152,0.67154032,0.59617472,6.6321988,48665.875,710.40106,192.43631,91.276421,5.1342111,5.1202884,2.3935061,181.51366,11.449052,43.970192,3.4783118,73.552849,3.8528454,1535.9404,0.60352302,0.22092412,1.0950135,7.5281029,2950.4224,1.1565617,12.585366,4.4390244,7.0243902,3.4769647,31.135502,38.845528,0.23848239,42,101,000700,42101000700,7,Census Tract 7,G5020,S,246690,7087,+39.9510463,-075.1729143,1,G4201010000700,2000,1,2,Pennsylvania,42,Philadelphia,101,NA,NA,000700,000700,NA,NA,NA,NA,NA,NA,NA,NA,6162,6160,9999,NA,NA,NA,NA,NA,NA,Census Tract 7,2564,2038,151,117,1207,31.5,74,503,1890,154,541,1349,34536,454,2096,872,913,101700,0,2013-2017,NA,NA,Philadelphia County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 7, Philadelphia County, Pennsylvania",31,3451,2220,539,293,2951,183,958,51830,2826,2429,397,604,1825,1709,293400,85,640,3434,0.04499120000000001,0.7948517940717629,0.6432917994784121,191700,1.8849557522123894,17294,0.5007528376187167,796,0.8718510405257394,0.28624338624338624,0.2486620008233841,-0.03758138542000214,29839,40813,0.31723419041000694,0.39567817866100713,0.07844398825100019,0.24727469680873881,0,0,0,0,1,0
42101000801,139,0.74058282,0.095238097,0.093816631,997,797,200,79.9,20.1,13.4,3.1,1955,1159,2076,2986,2497.04,2250,0,1213.6699,1412.963,1435.4839,875,1955,1905.7927,1865,1850.6533,3.3488081,5.5829597,2.4808362,2.8,6,2.2,1.2321204,2.1793723,0.86411148,1939,1939,1939,2012,2003,2013,1,0.86933798,0.98492908,0.94414896,122970.85,79690.766,94821,141620,82333,136.25636,44.615078,609.39557,0.7442919,0.68968135,0.52644527,1.4428571,4001.5715,796.18182,208.57143,92.064934,5.2739859,5.2968984,2.4009576,178.87013,11.452229,43.952866,3.4173884,72.713379,3.766242,1417.0701,0.62012738,0.22273248,1.1762421,7.4742675,3143.6345,1.4227024,12.21656,4.5414014,6.6878982,2.7388535,30.815287,39.350319,0,42,101,000801,42101000801,8.01,Census Tract 8.01,G5020,S,99957,12755,+39.9497374,-075.1804054,1,G4201010000801,NA,NA,NA,Pennsylvania,42,NA,101,NA,NA,000801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-2017,NA,NA,Philadelphia County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 8.01, Philadelphia County, Pennsylvania",28.9,1407,1174,134,132,1128,24,516,94821,997,797,200,223,574,1955,659400,139,195,1407,0.054610550000000035,NA,0.8343994314143568,NA,NA,NA,NA,NA,NA,NA,0.2797992471769134,NA,29839,40813,NA,0.2474135476318537,NA,NA,0,0,0,0,1,0
42101000803,140,0.80486178,0.021978023,0.025308026,2138,1837,301,85.9,14.1,0,4.1,1392,989,1352,1757,2779,0,0,1035.3773,1220.9678,1299.4382,1427.4553,1392,1496.0433,1365,1447.3917,3.5155144,4.5330262,2.9569983,3.4,4.2,2.8,1.4708765,1.9400922,1.213322,1939,1943,1939,2011,2000,2013,1,0.93254638,0.99960178,0.95101553,105487.71,52375.633,56307,123482,44519,167.05182,52.517349,799.72784,0.72708738,0.71290267,0.62369996,13.333333,2687.5908,526.51166,162.15698,91.608185,4.7028975,4.7183881,2.7744544,135.00578,11.454335,43.967052,3.48437,73.670517,3.8219652,1413.9884,0.62699425,0.23861849,1.2486705,7.6215029,2893.4111,1.2386824,12.16185,4.4624276,7.0231214,3.0520232,31.208092,39.884392,0,42,101,000803,42101000803,8.03,Census Tract 8.03,G5020,S,152822,0,+39.9493748,-075.1742489,1,G4201010000803,NA,NA,NA,Pennsylvania,42,NA,101,NA,NA,000803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-2017,NA,NA,Philadelphia County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract 8.03, Philadelphia County, Pennsylvania",33.2,3003,2493,66,76,2511,33,1271,56307,2138,1837,301,651,1186,1392,728000,225,322,3003,0.01418470999999999,NA,0.8301698301698301,NA,NA,NA,NA,NA,NA,NA,0.3543821448013065,NA,29839,40813,NA,0.29665938515637486,NA,NA,0,0,0,0,1,0
